starting_price,market_avg,seller_rating,bid_count,duration,category,popularity,condition_score,final_price
445200,821404.61218954,4.67,0,3,Antiques,0.9634694040592804,0.8158335421281655,348734.0057938295
38809,51245.12797438501,3.65,4,3,Real Estate,1.0415477869407148,1.1483022101303821,70318.65002759513
170419,191858.78502050156,3.76,25,1,Vehicle,0.6388034959514656,0.9231502644871914,446048.9270683182
440323,832350.9816844383,4.4,23,6,Furniture,0.7095309266208589,1.0093032969990108,1171320.8994435202
397947,718056.0884650089,4.33,20,6,Vehicle,1.2405612802542165,1.1600573583638958,1563376.5399142567
425969,712423.7208064281,3.75,3,2,Electronics,0.7616543034098274,0.9788151137789061,480230.9507631267
248470,389828.28721419116,3.81,11,2,Furniture,0.9591635827300449,1.134683544801741,546511.1012560725
322610,615562.285709127,4.26,8,7,Antiques,0.5911283881150435,1.079761787761927,465277.8901230192
360893,547515.5431936565,3.1,25,2,Electronics,1.3673779506573478,0.9589219286470279,1702265.2405258706
31552,52459.511218999,4.15,10,1,Antiques,1.3478665145828383,1.2485979301062824,84210.17196858866
198859,277112.5823831812,3.8,11,3,Antiques,1.3940266389409008,1.1261061202425402,549227.916654837
242390,477273.3983891684,3.41,15,6,Furniture,1.174918738434772,1.0981979937803885,670141.629737087
347056,610865.71469216,3.54,17,3,Electronics,0.9518069604805485,1.2653847262661466,1355540.4880495095
331610,504045.6963676088,3.13,2,1,Electronics,1.3196571982178051,1.077880842100915,471563.18633530627
404868,568551.7592406176,4.76,18,7,Electronics,0.5835124106410294,1.1743415997495354,1168502.7675375408
27366,36858.5560888614,4.34,11,6,Furniture,0.5248688022826744,0.8803324400921775,45427.15300980752
109936,148962.64353707898,3.53,23,5,Furniture,0.786675455216905,0.8986126382474956,282752.2883706218
480313,614581.996655306,3.94,17,2,Electronics,1.4327968984241746,1.0667914208238305,2045849.713967056
436096,696149.2391535371,4.86,24,5,Electronics,1.0622139567644404,0.9873710464343359,1692857.9377176787
70262,89280.2966835074,3.92,10,5,Electronics,0.6712279623103594,0.9922085985641579,120589.50541038696
143799,184905.74249149373,3.19,9,7,Furniture,0.8108508160993533,0.7944129908956228,185288.49607778148
152883,216731.01258337084,3.81,17,2,Furniture,1.4428482012987622,1.2692361093481064,645100.7986112278
89397,148525.68032132322,3.39,1,1,Electronics,0.61552473868246,0.9351210299608889,80035.47862624377
352366,444912.9979773556,4.9,9,4,Antiques,0.9142436657377173,0.8133226726785547,557600.5235582998
400276,444101.1233288783,3.81,1,2,Antiques,0.9557958816813931,0.9352519907460887,471990.19911455543
488161,627032.8919494817,3.5,20,1,Real Estate,1.1552977851922177,0.9179086760467429,1528713.4086225303
56902,103115.47574745229,3.26,18,2,Furniture,0.589526989581045,1.1084823152644647,117657.6826730693
447616,742104.4759165425,3.27,3,5,Vehicle,1.195485333479469,0.9825963513552242,556094.01604632
404766,620870.6104775704,4.46,21,2,Electronics,0.6317719952703963,1.1310185546731648,1099554.9874087698
30251,40804.04383836445,4.77,24,1,Antiques,1.4262353782522355,1.0973065528015344,173187.27823158845
216649,332207.39678646775,4.23,11,2,Furniture,0.9605362261301978,0.7098878376691518,310879.20322252886
212777,346114.5216364163,3.52,23,2,Furniture,1.0081714391606118,0.9835776535097596,695666.0422381462
271709,368980.93098203006,4.9,20,3,Electronics,0.9563618882847353,1.2307519999583911,1164387.093929237
378183,464995.1328816109,3.5,8,6,Real Estate,1.4290794736283559,1.287823405078705,1015284.4814855156
284567,379961.0333474361,3.11,18,2,Electronics,1.4264805363407822,0.8293850204740398,934300.6221605863
113589,205688.33237768424,3.89,22,3,Electronics,1.358207406466485,1.0793792852654753,532241.1266629241
